Wall time,Step,Value
1557081326.339282,0,1.9281089305877686
1557081445.7064471,1,1.6196342706680298
1557081564.5963311,2,1.5283905267715454
1557081683.529071,3,1.4606462717056274
1557081802.270876,4,1.4056674242019653
1557081921.4296687,5,1.365547776222229
1557082040.5565038,6,1.3237513303756714
1557082159.376249,7,1.3095234632492065
1557082278.0592191,8,1.271271824836731
1557082396.77172,9,1.2756606340408325
1557082515.8454037,10,1.228682518005371
1557082634.8168786,11,1.2478089332580566
1557082753.7339795,12,1.1907994747161865
1557082872.9061925,13,1.222300410270691
1557082991.9685175,14,1.2145518064498901
1557083111.0419397,15,1.1625045537948608
1557083229.821564,16,1.1478105783462524
1557083348.6353438,17,1.1310160160064697
1557083467.0622325,18,1.1168015003204346
1557083585.4478784,19,1.1266655921936035
1557083704.2410448,20,1.1421785354614258
1557083822.9137588,21,1.1278355121612549
1557083941.4017243,22,1.112473726272583
1557084060.6310356,23,1.089191198348999
1557084179.2300498,24,1.0521544218063354
1557084298.2784243,25,1.1091049909591675
1557084417.3153343,26,1.0661882162094116
1557084536.314155,27,1.0893216133117676
1557084654.9304543,28,1.0955997705459595
1557084773.8283072,29,1.0446503162384033
1557084892.4435537,30,1.0461570024490356
1557085011.0013423,31,1.0717623233795166
1557085129.8113892,32,1.043041467666626
1557085249.290183,33,1.0558050870895386
1557085368.2786665,34,1.0296419858932495
1557085487.1646347,35,1.021620273590088
1557085606.5638201,36,1.0401833057403564
1557085725.2696462,37,1.032567024230957
1557085844.1809762,38,1.0359110832214355
1557085962.901209,39,1.0561528205871582
1557086081.7483585,40,1.047121524810791
1557086200.5107481,41,1.0425150394439697
1557086319.063597,42,0.9785782098770142
1557086438.0968544,43,0.9750610589981079
1557086556.8778942,44,0.9900822043418884
1557086675.8390658,45,1.0018086433410645
1557086794.4976068,46,1.0707989931106567
1557086913.2937303,47,1.0368642807006836
1557087032.1699772,48,0.9872418642044067
1557087151.0171006,49,1.034735083580017
1557087269.9558718,50,1.023337483406067
1557087388.6758795,51,1.0210152864456177
1557087507.453828,52,1.0037879943847656
1557087626.9557018,53,0.9879200458526611
1557087745.5626082,54,0.9758049845695496
1557087864.5557785,55,0.9727649688720703
1557087983.6097095,56,1.0276565551757812
1557088102.490841,57,0.9736849665641785
1557088221.8431315,58,0.9808411598205566
1557088340.9266076,59,0.952305793762207
1557088459.8106635,60,0.9532654285430908
1557088578.5522528,61,0.9635193347930908
1557088697.2279935,62,0.9907693862915039
1557088816.2633846,63,1.002035140991211
