773,0,8,1,13,13,0,1,3,9
18,302,0,4,6,6,0,0,1,4
23,0,686,32,1,8,1,0,8,44
5,5,18,735,5,9,6,0,4,6
23,3,1,8,702,10,8,14,7,2
32,3,6,7,5,737,6,5,2,9
1,0,0,0,2,0,294,0,0,0
46,3,2,2,8,22,4,703,3,5
2,0,8,2,0,8,0,0,709,8
26,4,62,21,11,10,3,1,16,651
