Wall time,Step,Value
1557081326.3393068,0,0.3511308431625366
1557081445.706467,1,0.5277698040008545
1557081564.5963514,2,0.5937589406967163
1557081683.5290906,3,0.6188090443611145
1557081802.2708948,4,0.6505869030952454
1557081921.4296868,5,0.6621814966201782
1557082040.5565226,6,0.6703406572341919
1557082159.376269,7,0.6875178813934326
1557082278.059239,8,0.6993988156318665
1557082396.77174,9,0.7054108381271362
1557082515.8454273,10,0.7167191505432129
1557082634.8168957,11,0.7069854140281677
1557082753.734016,12,0.7258803248405457
1557082872.9062142,13,0.719152569770813
1557082991.9685361,14,0.7274549007415771
1557083111.0419583,15,0.7411966919898987
1557083229.8215842,16,0.7500715851783752
1557083348.6353638,17,0.7546521425247192
1557083467.062271,18,0.7547953128814697
1557083585.447896,19,0.7547953128814697
1557083704.2410634,20,0.7547953128814697
1557083822.9137785,21,0.7509304285049438
1557083941.401743,22,0.7665330767631531
1557084060.6310596,23,0.7709705233573914
1557084179.23007,24,0.7726882100105286
1557084298.2784433,25,0.7683939337730408
1557084417.315354,26,0.7756942510604858
1557084536.3141744,27,0.7729744911193848
1557084654.9304714,28,0.777698278427124
1557084773.8283248,29,0.7829945683479309
1557084892.4435725,30,0.7817062735557556
1557085011.0013638,31,0.779129683971405
1557085129.8114073,32,0.7818493843078613
1557085249.2902126,33,0.7775551080703735
1557085368.2787025,34,0.7927283048629761
1557085487.164669,35,0.7865731716156006
1557085606.5638406,36,0.7835671305656433
1557085725.269674,37,0.7812768220901489
1557085844.1809943,38,0.7943028807640076
1557085962.9012275,39,0.7842828631401062
1557086081.748409,40,0.7858574390411377
1557086200.510769,41,0.7900086045265198
1557086319.0636134,42,0.8058975338935852
1557086438.0968904,43,0.7960206270217896
1557086556.877916,44,0.7957343459129333
1557086675.8390858,45,0.7941597700119019
1557086794.4976265,46,0.7860005497932434
1557086913.2937472,47,0.7931577563285828
1557087032.1699965,48,0.7987403273582458
1557087151.017119,49,0.7963069081306458
1557087269.955903,50,0.793444037437439
1557087388.6759026,51,0.7925851941108704
1557087507.4538586,52,0.7955911755561829
1557087626.9557202,53,0.7988834977149963
1557087745.5626266,54,0.8006011843681335
1557087864.5558195,55,0.80704265832901
1557087983.6097264,56,0.7970226407051086
1557088102.4908597,57,0.8054680824279785
1557088221.8431609,58,0.805324912071228
1557088340.9266253,59,0.8046092391014099
1557088459.8106987,60,0.8057543635368347
1557088578.552272,61,0.8116232752799988
1557088697.2280118,62,0.8010306358337402
1557088816.2634034,63,0.8046092391014099
