Wall time,Step,Value
1557113434.7213802,0,0.3984251916408539
1557114880.5522575,1,0.4946313500404358
1557116324.0274038,2,0.5848246216773987
1557117768.5248146,3,0.6173228621482849
1557119212.9504216,4,0.6515390276908875
1557120656.7919497,5,0.6493915319442749
1557122107.6892881,6,0.6774516701698303
1557123570.0123348,7,0.6964924931526184
1557125047.7402563,8,0.7186828851699829
1557126515.9597714,9,0.7269864082336426
1557128001.9533231,10,0.7467430233955383
1557129507.3046162,11,0.748031497001648
1557131016.5006826,12,0.7563350200653076
1557132520.451283,13,0.7743736505508423
1557134028.8252823,14,0.7863994240760803
1557135532.7995338,15,0.7822476625442505
1557137031.264558,16,0.7925554513931274
1557138528.0841002,17,0.7988547086715698
1557140024.7397335,18,0.8090193271636963
1557141516.2247987,19,0.8143163919448853
1557143013.7752464,20,0.8210451006889343
1557144511.0034451,21,0.8313528895378113
1557146006.3016546,22,0.8322119116783142
1557147472.280603,23,0.8367931246757507
1557148943.3905892,24,0.841374397277832
1557150415.6420786,25,0.8403722047805786
1557151891.610805,26,0.8350751399993896
1557153375.0487812,27,0.8552612662315369
1557154863.7946851,28,0.8429491519927979
1557156354.786088,29,0.8529706597328186
1557157839.2339473,30,0.8423765301704407
1557159310.3829067,31,0.8420901894569397
1557160803.2128465,32,0.8682891726493835
1557162293.0970628,33,0.8501073718070984
1557163781.6098843,34,0.8455260992050171
1557165274.6029232,35,0.8556907773017883
1557166763.6248524,36,0.8601288199424744
1557168241.8688016,37,0.8629921078681946
1557169722.5200477,38,0.8721545934677124
1557171187.6081104,39,0.8572655916213989
1557172658.373344,40,0.8604151606559753
1557174129.955918,41,0.8652827739715576
1557175603.5522232,42,0.8638511300086975
1557177073.8405745,43,0.8761631846427917
1557178544.8377779,44,0.8712956309318542
1557180013.0295212,45,0.8781675100326538
1557181486.6351607,46,0.8695776462554932
1557182957.034469,47,0.8697208166122437
1557184422.777147,48,0.8763063549995422
1557185889.8212907,49,0.8681460022926331
1557187350.8514493,50,0.8800286054611206
1557188816.586681,51,0.8784538507461548
1557190277.9987826,52,0.869005024433136
1557191755.5971627,53,0.8694344758987427
1557193220.724938,54,0.8767358660697937
1557194678.4046504,55,0.8806012868881226
1557196128.0738556,56,0.880744457244873
1557197579.029412,57,0.8685755133628845
1557199057.3906417,58,0.8791696429252625
1557200533.7632747,59,0.8781675100326538
1557201999.5305777,60,0.8800286054611206
1557203460.510433,61,0.8840371966362
1557204921.3886886,62,0.8847530484199524
1557206394.8187776,63,0.8827487230300903
