Wall time,Step,Value
1557208114.3832269,0,1.6874877214431763
1557209544.3809197,1,1.373972773551941
1557210986.1642559,2,1.2507160902023315
1557212418.4307797,3,1.1338109970092773
1557213860.95425,4,1.0396254062652588
1557215316.7568069,5,1.035554051399231
1557216774.3401895,6,0.9659151434898376
1557218232.2161252,7,0.9285363554954529
1557219690.009748,8,0.8766428828239441
1557221150.5388808,9,0.8437257409095764
1557222602.9323726,10,0.8131792545318604
1557224061.7716975,11,0.8245955109596252
1557225500.822484,12,0.8248151540756226
1557226955.6383793,13,0.7988530993461609
1557228419.3861685,14,0.7785450220108032
1557229886.693731,15,0.7132024168968201
1557231349.7805712,16,0.6934772729873657
1557232817.3485727,17,0.7120215892791748
1557234269.3245463,18,0.6964434385299683
1557235727.3408697,19,0.678054928779602
1557237187.7548559,20,0.653998851776123
1557238646.4675236,21,0.6388247013092041
1557240107.4043722,22,0.6288968324661255
1557241575.3070197,23,0.6386381387710571
1557243033.6358361,24,0.610317051410675
1557244497.508174,25,0.6325867772102356
1557245962.7582188,26,0.6348180174827576
1557247432.608016,27,0.5822921395301819
1557248903.0971565,28,0.562214195728302
1557250364.7878077,29,0.5712809562683105
1557251836.7584198,30,0.5661588907241821
1557253309.7648275,31,0.5357164740562439
1557254764.7315052,32,0.5390910506248474
1557256216.0839705,33,0.5359666347503662
1557257659.0043743,34,0.5678488612174988
1557259095.7700224,35,0.5326955914497375
1557260558.1911583,36,0.5314872860908508
1557262024.517292,37,0.5144996643066406
1557263487.409274,38,0.5025022625923157
1557264955.1020236,39,0.5291875600814819
1557266405.500849,40,0.513757586479187
1557267865.7100868,41,0.5021273493766785
1557269325.5215528,42,0.5128592848777771
1557270780.740552,43,0.4773697555065155
1557272246.5059085,44,0.5282145142555237
1557273716.0582757,45,0.5171974301338196
1557275192.7275722,46,0.5028572082519531
1557276647.9594977,47,0.5220107436180115
1557278078.7124455,48,0.5203050971031189
1557279529.3348083,49,0.5018174648284912
1557280989.2769382,50,0.5206838250160217
1557282459.4187353,51,0.503243625164032
1557283928.7553833,52,0.5265348553657532
1557285401.6632214,53,0.505004346370697
1557286874.2824018,54,0.4713019132614136
1557288297.6272535,55,0.5049440860748291
1557289721.8315156,56,0.5205856561660767
1557291150.233015,57,0.4861952066421509
1557292585.7804773,58,0.4557267129421234
1557294026.2131758,59,0.44547373056411743
1557295470.5373168,60,0.5211369395256042
1557296918.7583468,61,0.4712490439414978
1557298368.484223,62,0.4894295334815979
1557299811.3032663,63,0.4699021279811859
